Name,TargetBodyPart__c,Difficulty__c,EstimatedMinutes__c,HowTo__c,CommonMistakes__c,EffectiveFeeling__c,BeginnerAlternative__c,PainCaution__c,SourceName__c,SourceUrl__c,SourceCheckedDate__c
"スクワット","脚","初心者","5","足を肩幅に開き、胸を起こしたまま、お尻を後ろへ引くようにゆっくり腰を下げる。膝とつま先の向きをそろえ、息を止めずに立ち上がる。","膝が内側に入る。背中が丸まる。反動で速く動く。","太ももとお尻に力が入る感覚。関節ではなく筋肉が使われる感覚。","椅子スクワット","膝や腰などに痛みが出たら中止する。深くしゃがもうと無理をせず、必要に応じて運動指導者や医療の専門家に相談する。","ACE Exercise Library: Bodyweight Squat","https://www.acefitness.org/resources/everyone/exercise-library/135/bodyweight-squat/","2026-06-20"
"椅子スクワット","脚","初心者","5","安定した椅子の前に立ち、足を肩幅に開く。お尻を後ろへ引いて椅子に軽く触れ、息を止めずに立ち上がる。椅子が動かない場所で行う。","勢いよく座る。膝が内側に入る。椅子から離れすぎる。","太ももとお尻に力が入り、立ち上がりを支える感覚。","椅子の背や壁に手を添え、浅い範囲で行う。","膝や腰などに痛みが出たら中止する。動く範囲を無理に広げず、必要に応じて運動指導者や医療の専門家に相談する。","NHS: Strength exercises - Sit-to-stand","https://www.nhs.uk/live-well/exercise/strength-exercises/","2026-06-20"
"膝つき腕立て伏せ","胸","初心者","5","床に膝と手をつき、手を肩幅より少し広く置く。頭から膝までをまっすぐ保ち、肘を曲げて胸を床へ近づけ、息を吐きながら押し戻す。","腰が反る。首だけが下がる。肘を横へ開きすぎる。","胸と腕の後ろ側に力が入る感覚。体幹にも軽く力が入る感覚。","壁腕立て伏せ","手首、肘、肩などに痛みが出たら中止する。深く下げようと無理をせず、必要に応じて運動指導者や医療の専門家に相談する。","ACE Exercise Library: Bent-Knee Push-Up","https://www.acefitness.org/resources/everyone/exercise-library/13/bent-knee-push-up/","2026-06-20"
"腕立て伏せ","胸","初級","5","手を肩幅より少し広く置き、頭からかかとまでをまっすぐ保つ。肘を曲げて胸を床へ近づけ、息を吐きながら床を押して戻る。","腰が落ちる、または上がりすぎる。首だけが下がる。息を止める。","胸、腕の後ろ側、肩の前側に力が入る感覚。","膝つき腕立て伏せ","手首、肘、肩などに痛みが出たら中止する。回数や深さを無理に増やさず、必要に応じて運動指導者や医療の専門家に相談する。","ACE Exercise Library: Push-Up","https://www.acefitness.org/resources/everyone/exercise-library/41/push-up/","2026-06-20"
"プランク","お腹","初心者","3","うつ伏せから肘と前腕、つま先で体を支える。頭からかかとまでをまっすぐにし、お腹に力を入れて、自然に呼吸を続ける。","腰が反る。お尻が上がりすぎる。息を止める。","お腹全体と体の中心が安定する感覚。腰だけに負担が集まらない感覚。","膝を床につけたプランク","腰、肩、肘などに痛みが出たら中止する。姿勢を長く保とうと無理をせず、必要に応じて運動指導者や医療の専門家に相談する。","ACE Exercise Library: Front Plank","https://www.acefitness.org/resources/everyone/exercise-library/32/front-plank/","2026-06-20"
"サイドプランク","お腹","初級","3","横向きになり、肩の真下に肘を置く。前腕と足の側面で体を支え、頭から足までをまっすぐに保ちながら自然に呼吸する。左右とも行う。","肩がすくむ。腰が床へ落ちる。体が前後に傾く。","脇腹とお尻の横側に力が入り、体が横にぶれにくい感覚。","下側の膝を床につけたサイドプランク","肩、肘、腰などに痛みが出たら中止する。保持時間を無理に延ばさず、必要に応じて運動指導者や医療の専門家に相談する。","ACE: Plank Variations - Side Plank","https://www.acefitness.org/resources/everyone/blog/6327/plank-variations-5-plank-variations-to-strengthen-your-core/","2026-06-20"
"ヒップリフト","お尻","初心者","5","仰向けで膝を曲げ、足を腰幅に置く。かかとで床を押し、お尻を締めながら腰をゆっくり持ち上げ、肩から膝がなだらかに並ぶ位置で戻す。","腰を反らせて高く上げすぎる。膝が外や内へ開く。勢いを使う。","お尻と太ももの裏側に力が入る感覚。","腰を少しだけ上げる小さなヒップリフト","腰や膝などに痛みが出たら中止する。高く上げようと無理をせず、必要に応じて運動指導者や医療の専門家に相談する。","ACE Exercise Library: Glute Bridge Exercise","https://www.acefitness.org/resources/everyone/exercise-library/49/glute-bridge/","2026-06-20"
"バードドッグ","全身","初心者","5","四つ這いになり、手は肩の下、膝は股関節の下に置く。背中を安定させ、片腕と反対側の脚をゆっくり伸ばして戻す。左右を交互に行う。","腰が反る。骨盤が横に傾く。腕や脚を高く上げすぎる。","お腹、背中、お尻に軽く力が入り、体幹がぶれにくい感覚。","腕だけ、または脚だけを一本ずつ伸ばす。","手首、膝、腰などに痛みが出たら中止する。動きを大きくしようと無理をせず、必要に応じて運動指導者や医療の専門家に相談する。","ACE Exercise Library: Bird-Dog","https://www.acefitness.org/resources/everyone/exercise-library/14/bird-dog/","2026-06-20"
"ランジ","脚","初級","5","背すじを伸ばして立ち、片足を前へ踏み出す。両膝をゆっくり曲げ、前足で床を押して元の位置へ戻る。膝とつま先の向きをそろえ、左右とも行う。","歩幅が狭すぎる。前膝が内側に入る。上体が大きく前へ倒れる。","前脚の太ももとお尻に力が入り、片脚で体を支える感覚。","椅子や壁に手を添え、浅い範囲で行う。","膝、足首、腰などに痛みが出たら中止する。深く下げようと無理をせず、必要に応じて運動指導者や医療の専門家に相談する。","ACE Exercise Library: Forward Lunge","https://www.acefitness.org/resources/everyone/exercise-library/94/forward-lunge/","2026-06-20"
"マウンテンクライマー","全身","中級","5","腕立て伏せの開始姿勢を作り、体幹を安定させる。片膝ずつ胸へ引き寄せて戻し、左右を交互に行う。最初はゆっくり動き、自然に呼吸する。","腰が上下に大きく動く。手より前へ体重が流れる。速さを優先して姿勢が崩れる。","お腹、肩、脚に力が入り、全身が温まる感覚。","手を椅子や壁につき、ゆっくり膝を交互に上げる。","手首、肩、腰などに痛みが出たら中止する。速く動こうと無理をせず、必要に応じて運動指導者や医療の専門家に相談する。","ACE Exercise Library: Mountain Climbers","https://www.acefitness.org/resources/everyone/exercise-library/258/mountain-climbers/","2026-06-20"
